ID;Name;Symbol;Low;l-1;l-2;l-3;l-4;l-5;l-6;l-7;l-8;l-9;l-10;l-11;l-12;l-13;l-14;l-15;l-16;l-17;l-18;l-19;l-20;l-21;l-22;l-23;l-24;l-25;l-26;l-27;l-28;l-29;l-30;l-31;l-32;l-33;l-34;l-35;l-36;l-37;l-38;l-39;l-40;l-41;l-42;l-43;l-44;l-45;l-46;l-47;l-48;l-49;l-50;l-51;l-52;l-53;l-54;l-55;l-56;l-57;l-58;l-59;l-60;l-61;l-62;l-63;l-64;l-65;l-66;l-67;l-68;l-69;l-70;l-71;l-72;l-73;l-74;l-75;l-76;l-77;l-78;l-79;l-80;l-81;l-82;l-83;l-84;l-85;l-86;l-87;l-88;l-89;l-90;l-91;l-92;l-93;l-94;l-95;l-96;l-97;l-98
1;Apple Inc.;AAPL;149.22;150.42;151.17;150.64;150.78;147.83;148.17;141.32;142.28;142.85;143.08;141.9;138.81;140.3;137.9;134.22;133.77;135.03;134.13;131.66;131.44;130.46;128.12;129.89;124.89;124.76;125.08;124.17;127.43;127.73;125.87;128.72;129.64;130.3;132.75;129.89;131.32;133.73;136.03;141.16;144.24;141.06;140.9;141.1;140.0;141.92;145.77;145.65;146.61;140.55;140.35;143.38;147.12;149.34;146.93;147.72;149.97;146.15;147.29;148.56;147.43;144.37;139.5;134.59;137.49;135.67;134.38;138.75;145.0;149.13;151.92;147.82;144.13;148.04;149.36;146.0;142.65;142.65;141.5;140.61;140.27;138.19;134.37;138.16;138.22;138.57;139.45;145.22;143.01;144.26;137.69;138.0;140.68;144.84;149.95;149.64;148.56;150.91;153.6
2;Microsoft Corporation;MSFT;260.97;262.8;266.21;260.08;254.78;257.1;257.25;245.47;242.95;242.2;246.83;242.0;230.9;240.44;239.65;234.51;230.68;235.52;237.09;234.92;233.56;231.11;227.33;226.41;219.35;221.76;225.96;237.4;236.66;235.65;234.17;235.83;233.94;233.87;240.11;238.42;238.71;243.51;247.34;254.31;253.07;247.17;244.16;243.06;242.21;243.78;248.06;249.69;250.92;239.86;238.21;240.8;246.73;244.27;240.71;241.19;239.03;237.63;240.42;240.03;239.21;241.93;235.0;224.33;225.84;221.28;213.43;213.98;220.04;227.33;231.15;226.05;225.78;230.06;245.83;241.3;234.5;234.87;234.29;235.37;235.14;228.34;219.13;223.96;224.11;226.73;233.17;246.08;244.1;244.98;234.66;232.73;234.41;234.73;234.5;236.9;235.2;237.57;238.9
3;Amazon.com Inc.;AMZN;97.1;97.57;98.78;98.08;100.65;102.52;108.88;101.24;101.14;99.01;99.53;96.92;91.52;96.0;95.86;93.2;92.86;95.38;95.73;94.12;93.5;90.93;87.29;87.08;81.43;83.07;83.36;84.21;82.47;82.55;81.69;83.0;82.93;82.25;85.21;84.33;84.51;86.73;87.47;89.87;90.52;87.87;88.63;87.88;87.48;87.9;90.82;93.78;94.92;91.53;91.44;93.43;93.07;92.83;90.87;90.59;92.48;94.03;95.54;97.34;97.29;96.66;91.65;85.87;88.23;89.04;88.04;89.02;92.01;96.06;100.74;97.66;109.77;114.76;118.95;116.57;114.5;113.51;113.22;114.79;110.09;106.6;105.35;111.4;110.39;112.43;113.88;119.5;117.69;119.79;112.45;112.84;113.06;113.8;113.05;113.13;112.06;116.26;
4;Alphabet Inc. Class A;GOOGL;94.74;93.63;98.04;103.12;101.88;102.58;105.61;97.58;96.82;96.4;97.31;95.38;93.76;97.2;97.5;95.02;90.63;90.64;90.05;90.13;89.75;89.01;85.83;87.86;84.86;85.9;87.27;88.52;86.57;86.61;85.94;87.01;87.07;86.32;88.32;87.44;88.21;89.52;90.01;93.6;95.03;91.61;92.75;93.45;94.72;96.42;99.0;98.9;100.25;94.42;94.11;95.61;97.4;97.09;94.05;95.36;96.37;96.79;97.64;96.71;94.51;93.92;91.61;87.28;87.59;86.85;83.71;83.34;86.88;90.37;93.98;92.13;91.8;94.69;102.72;99.98;97.72;99.39;98.92;99.97;98.83;96.37;94.38;96.74;96.31;97.01;98.3;100.59;98.8;100.38;96.52;95.56;95.96;97.11;96.87;97.8;97.47;98.79;
5;Berkshire Hathaway Inc. Class B;BRK.B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Alphabet Inc. Class C;GOOG;95.09;93.86;98.46;103.55;102.21;103.3;106.54;98.42;97.79;97.52;98.97;96.82;95.26;98.7;98.75;95.91;91.38;91.4;90.84;90.93;90.57;89.74;86.7;88.58;85.57;86.56;87.8;89.02;87.03;86.99;86.37;87.54;87.62;86.94;88.91;88.04;88.93;90.01;90.43;93.94;95.38;91.9;93.02;93.8;95.03;96.76;99.36;99.17;100.67;94.67;94.39;95.89;97.53;97.34;94.41;95.67;96.74;97.1;97.9;97.02;95.11;94.16;91.65;87.36;87.65;86.96;83.88;83.45;87.01;90.43;94.38;92.32;91.9;94.57;103.02;100.3;98.23;99.97;99.64;100.65;99.51;97.03;95.27;97.67;97.25;97.87;99.21;101.5;99.74;101.04;97.02;96.03;96.52;97.8;97.34;98.38;98.01;99.41;
7;NVIDIA Corporation;NVDA;213.6;221.2;220.08;211.5;207.86;207.89;207.0;196.11;189.5;191.5;194.05;192.78;185.8;188.2;178.18;168.25;167.31;172.82;168.99;161.65;154.92;155.63;154.72;151.41;140.34;141.48;142.41;140.96;142.33;142.27;138.84;140.56;148.83;148.82;161.02;158.52;161.45;164.1;167.0;174.2;177.11;167.97;169.75;159.59;156.67;158.19;164.72;164.45;166.35;155.97;155.2;157.25;161.72;160.48;151.22;150.8;151.2;155.35;158.73;163.82;159.22;154.82;145.47;137.59;142.16;139.54;136.97;129.56;132.11;135.19;132.97;130.61;131.22;127.08;126.64;120.64;118.87;121.05;118.34;116.18;115.17;112.04;108.13;113.45;112.83;114.08;120.22;131.03;126.21;128.79;121.05;120.75;119.46;123.54;122.58;122.14;122.57;124.28;131.1
8;Tesla Inc;TSLA;195.91;204.77;194.31;189.55;189.92;183.69;182.61;169.93;162.78;166.5;161.17;154.76;138.07;141.1;134.27;127.35;124.31;127.01;125.02;115.6;117.0;120.51;114.92;117.11;101.81;107.16;107.52;104.64;119.75;117.5;108.24;108.76;121.02;122.26;135.89;137.66;145.82;150.04;153.28;155.31;156.91;167.52;173.36;169.06;172.22;175.33;180.55;191.11;191.8;180.63;178.75;179.0;180.63;172.5;166.19;167.54;176.55;180.9;185.66;192.06;186.34;182.59;180.03;177.12;186.75;196.66;203.08;210.14;214.82;227.28;221.94;216.35;222.85;218.2;210.0;198.59;203.8;202.0;217.78;217.25;209.45;204.16;206.22;211.51;215.0;218.36;222.02;235.35;233.27;242.01;241.01;262.47;265.78;277.57;277.51;270.31;272.82;285.82;
9;Exxon Mobil Corporation;XOM;116.16;114.18;113.85;112.02;110.32;111.56;109.83;113.34;110.43;113.15;115.39;114.34;111.39;99.23;112.64;110.61;109.58;110.4;112.67;112.16;111.74;109.09;108.01;107.81;109.67;106.31;104.76;105.49;108.61;107.99;107.9;108.83;106.9;104.1;107.16;105.07;104.38;103.13;103.7;105.75;107.02;103.59;103.3;103.71;102.37;103.15;105.94;109.2;110.18;109.78;109.79;109.62;113.06;112.1;111.43;107.48;109.61;110.75;111.86;112.87;112.49;112.49;107.57;108.57;112.6;112.13;110.8;108.31;109.31;110.65;109.44;108.12;107.42;106.0;105.07;105.12;103.91;103.41;101.23;99.23;100.5;99.04;97.4;97.23;96.75;98.72;100.18;98.33;95.66;92.71;89.72;87.31;87.13;85.92;84.81;83.89;84.85;90.52;90.87
10;UnitedHealth Group Incorporated;UNH;488.75;482.4;475.11;469.03;471.01;469.75;463.89;495.67;493.13;484.8;484.47;490.58;485.73;436.51;481.39;479.0;477.39;474.75;483.78;486.0;485.22;485.0;482.68;488.54;487.54;488.5;500.6;512.16;524.84;528.86;527.73;529.85;522.9;521.63;518.1;519.7;520.93;515.72;525.47;531.57;535.1;539.28;538.87;543.78;539.63;534.24;530.88;532.44;535.8;527.48;523.65;531.69;532.52;523.0;519.91;515.38;519.46;512.16;505.47;500.77;513.41;509.65;533.95;539.44;542.0;535.47;527.14;538.13;543.07;544.22;550.13;543.69;539.76;540.21;533.9;537.8;518.01;519.78;514.6;518.33;515.28;511.93;487.74;498.21;495.18;495.02;501.06;516.74;520.13;516.83;505.4;504.84;502.47;500.8;503.58;499.0;506.38;506.11;512.02
