ID;Name;Symbol;Volume;v-1;v-2;v-3;v-4;v-5;v-6;v-7;v-8;v-9;v-10;v-11;v-12;v-13;v-14;v-15;v-16;v-17;v-18;v-19;v-20;v-21;v-22;v-23;v-24;v-25;v-26;v-27;v-28;v-29;v-30;v-31;v-32;v-33;v-34;v-35;v-36;v-37;v-38;v-39;v-40;v-41;v-42;v-43;v-44;v-45;v-46;v-47;v-48;v-49;v-50;v-51;v-52;v-53;v-54;v-55;v-56;v-57;v-58;v-59;v-60;v-61;v-62;v-63;v-64;v-65;v-66;v-67;v-68;v-69;v-70;v-71;v-72;v-73;v-74;v-75;v-76;v-77;v-78;v-79;v-80;v-81;v-82;v-83;v-84;v-85;v-86;v-87;v-88;v-89;v-90;v-91;v-92;v-93;v-94;v-95;v-96;v-97;v-98
1;Apple Inc.;AAPL;15,804,165;55,921,800;64,120,100;83,322,600;69,858,300;154,279,900;118,339,000;77,663,600;65,874,500;64,015,300;70,492,800;54,105,100;65,799,300;66,435,100;81,760,300;79,972,200;58,280,400;69,672,800;63,646,600;57,758,000;71,379,600;69,458,900;63,896,200;70,790,800;87,686,600;80,962,700;89,113,600;112,117,500;76,960,600;75,703,700;85,438,400;69,007,800;63,814,900;77,852,100;85,928,000;77,432,800;79,592,600;160,156,900;98,931,900;82,291,200;93,886,200;70,462,700;76,097,000;62,128,300;69,721,100;64,727,200;68,826,400;65,447,400;71,250,400;111,380,900;83,763,800;69,246,000;35,195,900;58,301,400;51,804,100;58,724,100;74,829,600;80,389,400;64,218,300;89,868,300;73,374,100;93,979,700;118,854,000;74,917,800;89,908,500;83,374,600;140,814,800;97,918,500;93,604,600;80,379,300;97,943,200;164,762,400;109,180,200;88,194,300;74,732,300;75,981,900;86,548,600;64,522,000;61,758,300;99,136,600;85,250,900;88,598,000;113,224,000;70,433,700;77,033,700;74,899,000;85,925,600;68,402,200;79,471,000;87,830,100;114,311,700;124,925,300;128,138,200;146,691,400;84,442,700;93,339,400;96,029,900;86,652,500;101,696,800
2;Microsoft Corporation;MSFT;8,478,670;42,292,100;54,686,000;50,841,400;22,518,000;29,062,300;39,940,400;31,259,900;26,541,100;25,867,400;26,480,800;33,454,500;66,526,600;40,234,400;31,934,000;35,323,400;28,623,000;30,028,700;29,831,300;21,317,700;27,269,500;28,669,300;27,033,900;27,369,800;43,597,700;39,585,600;50,623,400;25,740,000;21,930,800;19,770,700;17,457,100;16,688,600;21,207,000;28,651,700;23,690,600;25,150,800;29,696,400;86,102,000;35,560,400;35,410,900;42,196,900;30,665,100;20,609,700;22,611,800;20,481,500;22,463,700;23,435,300;21,528,500;26,041,500;47,594,200;17,956,300;24,778,200;9,200,800;19,508,500;19,665,700;26,394,700;27,613,500;23,123,500;24,093,300;31,390,100;31,123,300;34,620,200;46,268,000;27,852,900;28,192,500;33,498,000;36,789,100;36,633,900;38,407,000;30,592,300;28,357,300;40,647,700;40,424,600;82,543,200;34,775,500;24,911,200;26,299,700;21,811,000;19,985,700;26,329,600;28,142,300;30,198,600;42,551,800;21,903,900;30,474,000;29,743,600;37,769,600;20,239,900;20,347,100;34,888,400;28,880,400;35,694,800;27,484,200;29,029,700;27,018,700;27,694,200;34,176,000;31,061,200;28,625,600
3;Amazon.com Inc.;AMZN;16,981,429;64,504,400;75,878,300;119,501,300;81,945,200;144,173,400;158,154,200;80,450,100;66,527,300;70,691,900;87,678,100;68,523,600;94,261,600;66,929,500;76,501,100;67,307,100;69,002,700;79,570,400;72,755,000;85,413,600;85,254,800;103,126,200;67,756,600;65,266,100;83,219,100;67,930,800;68,885,100;76,706,000;62,330,000;54,995,900;58,228,600;57,284,000;57,433,700;81,431,300;59,267,200;74,348,300;83,531,500;146,144,100;84,802,900;70,298,000;100,212,000;61,999,800;67,398,500;73,305,900;68,086,900;75,503,600;71,535,500;72,496,400;68,488,000;102,805,800;65,567,300;74,943,100;35,088,600;59,414,700;62,192,000;84,330,300;72,428,200;82,617,900;87,958,800;111,336,300;99,533,100;111,590,500;173,414,900;90,796,200;88,703,400;77,495,700;129,101,300;136,683,300;135,761,800;153,370,000;99,251,400;223,133,400;129,605,400;68,802,300;50,934,600;49,531,500;55,660,500;48,795,100;47,198,100;65,607,400;62,782,000;67,737,300;86,868,100;45,728,700;56,432,200;42,339,700;54,678,000;42,253,800;48,217,500;62,812,600;50,941,900;59,479,600;58,969,700;55,763,800;60,094,700;62,723,300;65,126,700;55,229,200;
4;Alphabet Inc. Class A;GOOGL;19,683,774;119,304,500;94,743,500;49,010,200;31,999,600;65,283,500;69,883,800;35,531,100;29,870,700;27,226,200;33,850,200;30,114,000;42,330,000;33,078,500;40,005,100;63,037,300;37,000,400;29,116,700;32,602,400;26,309,900;30,258,100;26,862,000;30,467,800;29,003,900;41,362,500;27,194,400;34,854,800;28,131,200;23,964,900;23,333,500;19,523,200;20,097,300;23,003,000;27,658,300;24,745,600;23,453,800;29,493,000;58,011,800;40,107,000;28,733,600;40,593,700;29,420,000;28,225,400;32,213,300;31,045,400;24,910,700;24,405,100;21,480,700;28,687,100;43,647,500;20,061,700;26,237,500;9,701,400;18,868,100;23,438,500;21,647,400;28,342,300;26,052,600;29,105,200;41,640,800;30,179,500;33,090,500;51,620,100;31,769,100;30,429,000;34,078,900;51,124,900;61,288,000;57,038,300;47,161,400;31,675,000;43,697,300;60,710,900;88,114,100;40,611,400;27,176,400;32,458,700;25,323,200;23,811,100;24,060,700;28,419,200;25,410,700;34,574,500;21,876,400;26,507,100;18,225,100;27,502,800;22,324,000;22,176,900;28,850,800;27,982,000;32,941,500;31,047,200;32,466,300;30,072,800;27,072,700;31,625,400;34,298,600;
5;Berkshire Hathaway Inc. Class B;BRK.B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Alphabet Inc. Class C;GOOG;18,906,597;97,687,800;73,546,000;33,738,800;25,573,000;36,805,900;46,622,600;26,392,600;22,306,800;24,365,100;29,011,900;24,542,100;31,000,900;27,391,400;31,791,800;53,610,200;28,707,700;19,641,600;22,935,800;18,617,800;22,754,200;25,998,800;22,855,600;22,996,700;26,604,400;23,136,100;27,046,500;20,738,500;19,179,300;18,280,700;17,879,600;15,470,900;17,815,000;23,656,100;20,336,400;21,976,800;23,020,500;48,485,500;28,298,800;26,452,900;34,788,500;27,380,900;21,885,300;25,593,200;26,647,900;20,877,600;19,955,500;18,821,500;21,771,500;39,888,100;20,220,000;19,974,500;8,567,800;17,568,900;18,868,900;18,696,900;24,969,900;21,818,700;24,660,200;31,831,000;24,170,100;30,569,100;42,371,200;26,743,900;30,172,000;26,899,900;40,173,300;48,510,400;43,553,600;43,220,600;29,868,700;35,696,900;54,036,500;71,504,300;29,910,200;24,680,800;28,988,700;25,125,100;21,573,700;21,610,500;23,311,600;22,624,800;32,812,200;17,343,400;21,617,700;16,529,900;24,249,900;17,156,200;18,475,500;22,580,900;24,840,000;26,277,800;21,921,500;24,617,000;24,225,000;22,437,900;25,657,000;21,272,700;
7;NVIDIA Corporation;NVDA;18,314,309;52,287,400;55,965,100;66,415,000;45,219,700;42,892,500;56,427,600;66,047,700;49,801,700;48,861,100;54,163,300;48,953,500;44,953,700;49,620,400;65,516,300;56,401,600;45,293,200;43,962,400;51,110,200;44,693,500;55,140,900;35,328,500;38,410,100;50,423,100;40,482,300;38,916,800;43,132,400;40,127,700;31,027,300;35,492,300;35,106,600;46,490,200;34,932,600;56,504,500;32,502,500;40,326,000;35,403,900;47,823,200;47,854,200;49,688,800;65,658,900;45,732,800;46,533,800;51,545,600;37,238,800;35,269,400;35,225,500;37,138,900;47,097,700;56,529,800;29,838,400;30,374,100;16,793,400;42,724,100;47,286,600;40,473,900;49,207,200;71,089,400;64,954,700;54,587,600;52,785,200;65,548,700;70,081,900;45,441,400;59,529,200;41,006,100;61,257,600;50,006,500;67,262,800;43,281,700;48,634,100;52,104,000;58,311,300;53,295,300;50,548,200;51,745,700;60,949,400;65,239,800;52,313,100;65,936,200;58,077,400;71,343,200;85,010,300;49,259,000;66,748,200;69,869,900;67,247,800;64,415,700;50,713,100;58,418,200;54,747,800;56,563,800;53,276,300;54,241,400;55,385,400;54,734,300;66,330,900;75,916,200;80,767,900
8;Tesla Inc;TSLA;79,395,376;214,085,400;180,673,600;186,010,300;186,188,100;231,684,200;217,448,300;213,806,300;196,813,500;230,878,800;305,632,100;234,815,100;192,734,300;158,699,100;203,119,200;138,429,900;170,291,900;195,680,300;186,477,000;180,439,300;169,400,900;183,810,800;167,642,500;190,284,000;220,575,900;157,986,300;180,389,000;231,402,800;157,304,500;221,923,300;221,070,500;208,643,400;166,989,700;210,090,300;145,417,400;159,563,300;139,390,600;139,032,200;122,334,500;140,682,300;175,862,700;109,794,500;104,872,300;97,624,500;84,213,300;92,150,800;93,122,700;73,645,900;80,046,200;109,186,400;83,357,100;92,905,200;50,672,700;109,536,700;78,452,300;92,882,700;76,048,900;64,336,000;66,567,600;91,293,800;92,226,600;114,403,600;132,703,000;127,062,700;128,803,400;93,916,500;98,622,200;56,538,800;63,070,300;62,688,800;61,554,300;69,152,400;61,638,800;85,012,500;96,507,900;100,446,800;75,713,800;117,798,100;66,571,500;75,891,900;79,428,800;94,124,500;91,483,000;66,860,700;77,013,200;67,925,000;83,916,800;69,298,400;86,982,700;109,578,500;98,363,500;67,726,600;77,620,600;54,664,800;61,925,200;58,076,900;63,748,400;70,545,400;
9;Exxon Mobil Corporation;XOM;6,588,720;17,438,000;18,459,700;16,013,300;13,855,200;20,216,500;24,562,100;19,464,900;27,861,800;18,672,100;15,175,700;21,019,700;11,914,700;13,583,100;16,584,400;16,481,400;12,928,000;16,399,700;16,542,200;12,008,300;15,357,300;16,710,400;15,104,600;17,964,600;16,342,300;15,946,600;18,058,400;15,146,200;11,793,300;10,534,000;10,702,100;11,962,100;11,539,400;13,213,000;13,565,400;14,680,000;13,611,100;54,596,600;15,365,100;17,597,300;24,305,300;20,413,200;21,298,200;21,128,800;20,061,700;21,197,000;19,287,700;15,248,400;14,398,300;23,158,100;14,453,200;23,015,500;7,136,000;11,546,700;17,719,100;20,973,000;15,415,000;12,425,900;13,591,000;19,373,800;20,858,300;20,518,900;20,146,700;19,522,800;14,661,000;16,008,000;17,541,500;17,103,700;20,654,200;22,213,100;26,401,800;28,169,400;18,214,000;17,383,800;15,719,800;17,024,200;22,814,100;17,649,000;20,921,700;14,065,400;14,283,200;15,222,000;22,019,100;12,635,800;17,804,100;16,786,100;24,507,600;29,124,700;34,857,700;22,133,700;23,881,300;21,357,600;17,896,000;19,543,300;17,307,300;22,043,400;27,738,800;16,139,400;17,332,400
10;UnitedHealth Group Incorporated;UNH;691,207;3,661,100;3,466,400;3,394,600;4,174,200;5,439,200;11,169,900;3,451,200;5,567,000;3,606,900;3,166,800;3,005,000;3,037,300;3,036,300;3,418,700;3,519,500;4,549,600;4,398,200;4,495,600;5,384,300;3,726,800;4,274,200;3,164,000;3,702,800;4,840,700;5,497,100;5,070,400;3,525,600;1,849,300;1,379,700;1,694,200;1,596,700;1,292,300;1,851,600;2,182,000;2,086,100;1,808,100;7,109,100;2,963,800;2,654,600;3,369,700;2,714,100;2,852,400;2,272,300;2,849,100;3,097,700;2,424,800;2,346,200;2,997,800;9,688,900;3,751,000;2,699,900;1,419,200;2,238,300;2,567,400;3,349,600;3,566,000;4,246,300;3,430,800;5,103,800;5,238,400;7,034,300;3,426,400;2,672,600;2,797,000;2,540,300;3,513,100;2,245,300;2,696,200;3,338,900;2,770,400;2,761,900;2,212,100;2,863,500;2,411,900;2,627,100;2,896,000;2,390,800;2,500,500;2,345,500;3,282,300;5,628,900;3,999,700;2,254,300;2,844,500;2,459,100;3,273,700;2,187,300;2,281,800;3,189,800;2,562,400;3,116,000;2,392,000;3,027,300;2,583,400;2,867,400;2,536,900;2,285,600;2,427,700
