ID;Name;Symbol;Close;c-1;c-2;c-3;c-4;c-5;c-6;c-7;c-8;c-9;c-10;c-11;c-12;c-13;c-14;c-15;c-16;c-17;c-18;c-19;c-20;c-21;c-22;c-23;c-24;c-25;c-26;c-27;c-28;c-29;c-30;c-31;c-32;c-33;c-34;c-35;c-36;c-37;c-38;c-39;c-40;c-41;c-42;c-43;c-44;c-45;c-46;c-47;c-48;c-49;c-50;c-51;c-52;c-53;c-54;c-55;c-56;c-57;c-58;c-59;c-60;c-61;c-62;c-63;c-64;c-65;c-66;c-67;c-68;c-69;c-70;c-71;c-72;c-73;c-74;c-75;c-76;c-77;c-78;c-79;c-80;c-81;c-82;c-83;c-84;c-85;c-86;c-87;c-88;c-89;c-90;c-91;c-92;c-93;c-94;c-95;c-96;c-97;c-98
1;Apple Inc.;AAPL;150.29;150.87;151.92;154.65;151.73;154.50;150.82;145.43;144.29;143.00;145.93;143.96;141.86;142.53;141.11;137.87;135.27;135.21;135.94;134.76;133.41;133.49;130.73;130.15;129.62;125.02;126.36;125.07;129.93;129.61;126.04;130.03;131.86;132.23;135.45;132.30;132.37;134.51;136.50;143.21;145.47;144.49;142.16;142.65;140.94;142.91;146.63;147.81;148.31;148.03;141.17;144.22;148.11;151.07;150.18;148.01;151.29;150.72;148.79;150.04;148.28;149.70;146.87;134.87;139.50;138.92;138.38;138.88;145.03;150.65;153.34;155.74;144.80;149.35;152.34;149.45;147.27;143.39;143.86;143.75;142.41;138.38;142.99;138.34;138.98;140.42;140.09;145.43;146.40;146.10;142.45;138.20;142.48;149.84;151.76;150.77;150.43;152.74;153.72
2;Microsoft Corporation;MSFT;261.55;263.62;266.73;267.56;256.77;258.35;264.60;252.75;247.81;242.71;248.16;248.00;240.61;242.04;242.58;240.22;231.93;235.81;240.35;239.23;238.51;235.77;228.85;227.12;224.93;222.31;229.10;239.58;239.82;241.01;234.53;236.96;238.73;238.19;244.43;241.80;240.45;244.69;249.01;257.22;256.92;252.51;245.42;247.40;244.37;245.12;250.20;255.02;254.69;255.14;240.33;241.76;247.49;247.58;245.03;242.05;241.22;241.68;241.73;241.97;241.55;247.11;242.98;224.51;228.87;227.87;221.39;214.25;220.10;228.17;232.13;235.87;226.75;231.32;250.66;247.25;242.12;236.15;236.48;238.50;237.53;228.56;234.24;225.75;225.41;229.25;234.24;246.79;249.20;248.88;240.74;232.90;237.50;241.07;236.41;237.45;237.92;240.98;238.95
3;Amazon.com Inc.;AMZN;97.21;98.24;100.05;102.11;102.18;103.39;112.91;105.15;103.13;100.55;102.24;99.22;97.18;96.32;97.52;97.25;93.68;95.46;96.05;98.12;95.27;95.09;89.87;87.36;86.08;83.12;85.14;85.82;84.00;84.18;81.82;83.04;85.25;83.79;86.77;85.19;84.92;87.86;88.45;91.58;92.49;90.55;89.09;90.35;88.46;88.25;91.01;94.13;95.50;96.54;92.42;93.95;93.41;94.13;93.20;92.46;94.14;94.85;97.12;98.94;98.49;100.79;96.63;86.14;89.98;90.53;90.98;89.30;92.12;96.79;102.44;103.41;110.96;115.66;120.60;119.82;119.32;115.25;115.07;116.36;113.79;106.90;112.53;112.90;112.21;113.67;114.56;120.30;120.95;121.09;115.88;113.00;114.80;118.01;114.41;115.15;113.78;117.31;
4;Alphabet Inc. Class A;GOOGL;94.99;95.01;99.37;107.64;102.90;104.78;107.74;100.43;98.84;96.94;99.37;97.52;95.22;97.70;99.79;98.02;93.05;91.12;91.29;92.12;91.13;91.52;88.42;88.02;87.34;86.20;88.08;89.12;88.23;88.45;86.02;87.39;89.23;87.76;89.58;89.02;88.44;90.26;90.86;95.07;95.63;93.31;92.83;93.71;94.94;96.98;99.48;100.44;100.99;100.99;95.19;96.05;97.46;98.46;97.05;95.60;97.43;98.36;98.85;98.44;95.70;96.41;93.94;87.32;88.90;88.49;86.58;83.43;86.97;90.47;94.51;96.29;92.22;94.93;104.48;102.52;101.13;99.97;99.63;100.77;99.97;96.56;99.06;97.56;97.18;97.86;98.68;101.42;101.43;101.64;98.64;95.65;97.42;100.05;97.50;98.17;98.74;100.14;
5;Berkshire Hathaway Inc. Class B;BRK.B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Alphabet Inc. Class C;GOOG;95.27;95.46;100.00;108.04;103.47;105.22;108.80;101.43;99.87;97.95;100.71;99.16;96.73;99.21;101.21;99.28;93.91;91.78;92.16;92.80;91.91;92.26;89.24;88.80;88.16;86.77;88.71;89.70;88.73;88.95;86.46;87.93;89.81;88.26;90.25;89.63;89.15;90.86;91.20;95.31;95.85;93.56;93.07;93.95;95.15;97.31;99.87;100.83;101.28;101.45;95.44;96.25;97.60;98.82;97.33;95.83;97.80;98.50;98.99;98.72;96.03;96.73;94.17;87.40;88.91;88.65;86.70;83.49;87.07;90.50;94.66;96.58;92.60;94.82;104.93;102.97;101.48;100.53;100.29;101.39;100.78;97.18;99.71;98.30;98.05;98.71;99.57;102.24;102.22;102.41;99.30;96.15;98.09;100.74;98.09;98.81;99.17;100.57;
7;NVIDIA Corporation;NVDA;211.97;223.37;222.05;221.73;210.89;211.00;217.09;209.43;195.37;191.62;203.65;198.02;193.23;192.65;191.93;178.39;167.65;173.77;177.02;168.99;165.11;160.01;159.09;156.28;148.59;142.65;147.49;143.15;146.14;146.03;140.36;141.21;152.06;153.39;165.01;160.85;162.54;165.71;169.52;176.74;180.72;175.35;170.01;171.69;161.20;159.87;166.10;168.76;171.35;169.23;156.39;158.27;162.70;165.19;160.38;153.17;154.09;156.77;159.10;166.66;162.95;163.27;157.50;137.76;146.02;143.01;141.56;134.21;132.19;135.43;134.97;138.34;131.76;128.96;132.61;125.99;124.66;121.94;120.51;119.67;118.88;112.27;119.60;115.00;115.86;116.70;120.76;131.30;132.09;131.67;125.12;121.39;122.20;127.36;124.13;122.28;125.16;125.61;132.61
8;Tesla Inc;TSLA;196.20;207.32;201.29;196.81;194.76;189.98;188.27;181.41;173.22;166.66;177.90;160.27;144.43;143.89;143.75;133.42;127.17;128.78;131.49;122.40;123.56;123.22;118.85;119.77;113.06;110.34;113.64;108.10;123.18;121.82;112.71;109.10;123.15;125.35;137.57;137.80;149.87;150.23;157.67;156.80;160.95;167.82;179.05;173.44;174.04;179.82;182.45;194.86;194.70;194.70;180.83;182.92;182.86;183.20;169.91;167.87;180.19;183.17;186.92;194.42;190.95;195.97;190.72;177.59;191.30;197.08;207.47;215.31;214.98;227.82;227.54;228.52;225.09;224.64;222.42;211.25;214.44;207.28;222.04;220.19;219.35;204.99;221.72;217.24;216.50;222.96;223.07;238.13;240.81;249.44;242.40;265.25;268.21;287.81;282.94;276.01;275.33;288.59;
9;Exxon Mobil Corporation;XOM;118.72;114.35;113.92;114.92;111.73;111.92;111.15;114.74;116.01;113.56;115.61;117.76;113.21;113.81;112.76;113.35;111.32;110.61;112.93;113.15;113.22;111.37;110.09;108.47;110.53;109.21;106.82;106.51;110.30;109.20;108.38;110.19;108.68;105.88;108.06;106.69;105.17;104.70;105.44;106.46;107.25;106.09;103.54;104.42;103.65;103.88;106.85;109.86;110.80;111.34;110.54;109.81;113.21;113.61;114.18;110.97;112.08;113.06;112.91;114.13;113.37;113.95;110.50;108.90;114.00;113.64;112.31;111.10;109.61;111.91;110.81;110.70;107.55;107.14;105.88;106.60;105.86;103.93;103.79;100.80;100.62;99.19;101.87;98.43;98.00;98.84;101.03;102.06;99.12;95.27;91.92;87.31;88.68;88.86;85.74;83.98;85.75;90.57;90.95
10;UnitedHealth Group Incorporated;UNH;494.83;485.73;483.22;476.88;475.24;472.02;470.83;497.00;499.19;485.79;486.05;492.48;492.50;491.60;485.81;486.72;484.36;476.24;485.08;489.57;495.67;493.40;486.00;490.06;490.00;489.96;504.50;518.64;530.18;529.88;528.45;531.99;531.31;527.09;527.54;520.21;523.60;523.70;527.68;538.36;538.22;545.86;539.20;547.92;542.91;539.32;535.04;536.16;536.91;547.76;528.00;532.27;537.62;529.71;523.09;517.19;530.00;515.31;511.52;503.01;513.75;522.08;544.17;540.66;553.05;545.02;538.17;543.61;543.43;547.31;555.15;551.24;541.80;543.17;540.22;541.60;533.73;520.88;520.32;522.21;521.88;513.13;509.91;499.96;499.81;498.86;504.85;519.13;527.07;523.17;515.51;505.04;508.83;513.94;508.37;508.36;513.61;517.46;512.08
