ID;Name;Symbol;High;h-1;h-2;h-3;h-4;h-5;h-6;h-7;h-8;h-9;h-10;h-11;h-12;h-13;h-14;h-15;h-16;h-17;h-18;h-19;h-20;h-21;h-22;h-23;h-24;h-25;h-26;h-27;h-28;h-29;h-30;h-31;h-32;h-33;h-34;h-35;h-36;h-37;h-38;h-39;h-40;h-41;h-42;h-43;h-44;h-45;h-46;h-47;h-48;h-49;h-50;h-51;h-52;h-53;h-54;h-55;h-56;h-57;h-58;h-59;h-60;h-61;h-62;h-63;h-64;h-65;h-66;h-67;h-68;h-69;h-70;h-71;h-72;h-73;h-74;h-75;h-76;h-77;h-78;h-79;h-80;h-81;h-82;h-83;h-84;h-85;h-86;h-87;h-88;h-89;h-90;h-91;h-92;h-93;h-94;h-95;h-96;h-97;h-98
1;Apple Inc.;AAPL;151.34;154.33;154.58;155.23;153.10;157.38;151.18;146.61;144.34;145.55;147.23;144.25;142.43;143.16;143.32;138.02;136.25;138.61;137.29;134.92;134.26;133.51;131.26;133.41;130.29;127.77;128.66;130.90;129.95;130.48;131.03;131.41;132.42;134.56;136.81;133.25;135.20;137.65;141.80;146.66;149.97;144.50;145.57;143.52;143.37;147.30;150.92;148.00;149.13;148.72;144.81;146.64;148.88;151.83;150.42;150.37;152.70;151.48;149.87;153.59;150.28;150.01;146.87;138.55;141.43;139.15;142.67;142.80;152.17;155.45;154.24;157.50;149.05;151.99;152.49;150.23;147.85;145.89;144.95;146.70;142.90;144.52;143.59;140.36;141.35;141.89;143.10;147.54;147.38;146.22;143.07;143.10;146.72;150.64;154.72;153.77;151.47;154.47;158.74
2;Microsoft Corporation;MSFT;264.09;273.98;276.76;268.77;258.30;264.20;264.69;255.18;247.95;245.60;249.83;248.31;243.30;243.95;245.17;240.74;235.52;242.38;240.91;239.37;239.90;235.95;231.31;231.24;225.76;227.55;232.87;245.75;239.96;241.92;239.72;238.93;238.87;241.99;245.62;242.91;245.21;249.84;254.20;262.59;263.92;252.54;248.31;248.74;246.16;251.86;253.82;256.06;256.12;255.33;242.79;246.65;248.70;248.28;245.31;244.67;243.74;243.25;243.80;247.00;243.91;247.99;243.33;228.63;231.65;228.41;221.59;220.41;231.30;235.74;234.92;236.60;233.69;238.30;251.04;247.84;243.00;241.31;239.61;243.93;238.96;237.24;236.10;227.86;229.06;234.56;241.32;250.34;250.58;250.36;241.61;240.54;239.95;242.33;241.80;241.45;241.13;243.86;247.66
3;Amazon.com Inc.;AMZN;98.81;101.78;102.67;102.41;103.95;108.78;114.00;106.24;103.35;101.74;103.49;99.49;97.24;98.09;97.78;97.35;95.44;99.32;98.89;98.37;97.19;95.26;90.19;89.48;86.40;85.42;86.98;86.96;84.05;84.55;83.48;85.35;85.78;85.68;87.23;86.61;87.63;89.35;89.97;93.46;96.25;90.58;90.30;90.86;89.89;91.04;94.06;95.36;97.23;96.54;94.41;96.40;94.43;94.58;93.35;95.02;95.99;96.97;98.49;103.79;100.12;101.19;98.69;89.48;91.72;92.10;92.44;93.50;97.74;104.58;104.87;103.96;114.12;119.35;121.32;120.39;119.59;118.24;116.59;119.52;114.19;114.96;113.44;113.83;115.48;116.25;118.17;121.53;121.75;123.00;116.91;116.92;116.07;118.70;118.32;117.34;116.05;118.79;
4;Alphabet Inc. Class A;GOOGL;96.75;100.03;103.14;108.18;104.36;107.81;107.85;101.19;98.88;98.29;100.32;97.57;96.16;99.61;100.04;98.30;93.61;92.80;92.25;92.19;91.87;91.60;88.67;90.05;87.69;87.57;90.65;91.05;88.30;88.85;88.04;88.94;89.55;88.54;90.22;89.18;90.56;91.33;93.64;96.87;99.53;93.56;94.26;95.58;96.88;99.78;101.38;100.77;102.25;101.04;96.12;97.58;98.64;98.76;97.22;98.40;98.90;99.28;99.64;100.14;96.79;96.93;94.39;89.44;90.32;88.90;86.64;86.52;91.18;96.03;96.03;96.55;95.43;98.31;104.82;102.75;101.31;102.32;101.02;103.47;100.93;100.69;99.78;98.75;99.25;99.10;100.53;102.93;101.93;101.84;99.29;98.90;98.64;100.70;100.00;99.88;99.66;101.24;
5;Berkshire Hathaway Inc. Class B;BRK.B;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Alphabet Inc. Class C;GOOG;97.02;100.61;103.58;108.67;104.70;108.02;108.82;102.19;99.91;99.41;101.58;99.21;97.72;101.09;101.40;99.42;94.40;93.59;92.97;92.98;92.62;92.45;89.47;90.83;88.47;88.21;91.24;91.55;88.83;89.36;88.52;89.50;90.10;89.18;90.92;89.78;91.20;91.75;94.03;97.22;99.80;93.88;94.49;95.87;97.31;100.21;101.75;101.15;102.59;101.45;96.39;97.83;98.94;99.07;97.55;98.72;99.16;99.48;99.85;100.42;97.18;97.36;94.55;89.49;90.40;88.94;86.73;86.55;91.30;96.17;96.35;96.86;95.17;98.54;105.10;103.10;101.62;103.00;101.66;104.22;101.77;101.29;100.53;99.65;100.12;99.99;101.42;103.73;102.74;102.72;99.97;99.49;99.30;101.40;100.46;100.44;100.11;101.68;
7;NVIDIA Corporation;NVDA;220.77;230.20;228.78;222.59;215.70;217.45;219.49;211.92;196.87;201.40;206.28;201.66;193.70;194.95;192.45;178.56;171.97;178.73;177.28;169.22;166.37;160.28;159.62;160.56;150.10;145.64;148.53;149.96;146.29;146.83;142.62;151.00;153.39;161.38;166.27;163.10;166.09;170.41;173.20;182.52;187.90;175.38;175.83;171.79;161.86;165.73;169.95;169.33;172.65;169.30;159.32;163.57;164.87;165.27;160.58;154.77;160.02;162.66;163.62;169.98;165.40;163.89;157.73;142.11;148.91;144.12;142.29;137.81;142.10;139.25;138.38;138.50;138.38;133.88;133.00;127.10;124.98;127.69;123.50;124.92;119.48;121.11;120.78;117.35;118.46;121.24;126.70;136.56;133.21;132.20;126.78;126.33;125.00;128.23;127.36;126.59;126.11;131.49;140.31
8;Tesla Inc;TSLA;206.20;214.00;203.00;197.50;198.17;199.00;196.75;183.81;174.30;179.77;180.68;161.42;146.41;146.50;145.38;133.51;129.99;136.68;131.70;122.63;124.13;125.95;122.76;123.52;114.39;111.75;114.59;118.80;124.48;123.57;116.27;119.67;128.62;136.63;141.26;148.47;155.25;160.99;160.93;161.62;175.05;177.37;182.50;175.20;179.38;183.65;191.27;196.25;198.92;194.76;186.38;188.50;185.20;183.62;170.92;176.77;185.19;186.16;192.57;200.82;195.73;196.52;191.00;195.89;195.20;208.90;223.80;221.20;227.87;237.40;229.85;228.86;233.81;230.60;224.35;213.50;214.66;215.55;222.93;229.82;221.86;226.26;222.99;219.30;225.75;226.99;234.57;244.58;246.67;257.50;255.16;275.57;283.65;289.00;288.67;284.09;284.50;301.29;
9;Exxon Mobil Corporation;XOM;118.74;116.24;115.83;115.31;113.09;114.11;115.07;117.38;116.40;115.49;117.67;117.78;113.65;114.02;114.59;113.44;112.13;114.12;114.08;113.49;113.74;111.45;110.33;111.64;111.99;109.95;107.16;110.02;110.50;109.72;110.00;110.47;108.74;108.19;108.59;107.51;106.20;105.58;106.17;108.30;108.54;106.24;105.95;106.80;104.85;107.04;111.36;111.71;112.07;111.90;111.80;111.46;114.61;113.95;114.47;111.20;112.48;113.20;114.26;114.53;114.64;114.50;110.70;113.28;114.66;113.99;113.50;111.82;112.10;112.57;112.91;111.21;109.58;107.83;107.33;107.68;106.40;105.00;103.99;102.35;101.97;102.24;102.45;98.91;99.76;102.03;103.32;102.18;99.99;95.36;92.36;89.04;89.36;89.30;86.96;86.22;87.50;92.66;93.88
10;UnitedHealth Group Incorporated;UNH;495.02;489.70;485.04;478.08;478.97;478.78;495.00;504.38;505.50;495.25;493.37;496.45;495.36;500.26;490.10;486.99;486.39;489.50;492.94;509.50;498.73;495.60;490.47;499.99;492.87;502.09;518.64;525.63;530.50;533.68;538.15;535.84;531.31;529.01;527.88;526.99;527.21;525.81;534.07;543.48;550.99;546.08;548.49;551.29;545.91;540.59;540.38;538.61;553.00;548.08;532.97;539.58;540.85;530.44;524.66;531.95;533.00;526.98;514.13;516.64;528.98;546.28;551.70;554.61;554.80;546.95;547.76;547.87;554.58;555.69;558.10;553.00;546.52;547.64;543.92;546.48;536.53;529.42;523.82;532.00;524.31;529.91;513.47;508.25;506.83;506.31;514.17;528.58;529.35;524.59;517.81;516.55;514.77;516.27;516.79;512.57;514.66;520.97;528.01
11;Johnson & Johnson;JNJ;162.79;164.80;164.56;163.88;164.85;166.34;166.22;165.98;163.43;168.54;168.87;169.91;169.51;175.00;169.63;170.11;171.28;172.00;174.58;174.01;174.71;175.72;176.14;179.76;180.93;179.99;180.19;178.38;177.77;178.30;178.45;178.35;177.52;177.51;178.18;176.44;176.17;177.00;179.84;181.04;180.20;177.87;177.89;177.47;177.88;180.00;179.36;178.96;179.96;178.01;177.26;177.77;178.12;177.40;177.19;176.55;176.64;174.99;174.99;173.00;173.26;173.11;174.77;175.00;174.69;173.85;172.50;171.47;173.94;174.63;175.16;175.39;173.43;172.57;171.11;172.08;169.37;165.74;166.25;167.17;167.21;165.68;165.99;164.88;164.11;161.28;162.22;165.00;166.04;166.00;164.38;165.74;167.17;167.38;167.67;166.84;167.48;167.16;166.8
12;Meta Platforms Inc. Class A;META;178.89;186.65;190.83;193.78;190.70;196.77;197.16;153.58;149.88;151.12;153.19;147.51;143.17;145.00;143.76;139.94;137.45;137.25;136.75;137.39;137.68;133.85;133.44;132.95;130.33;128.52;129.05;126.37;120.42;121.03;118.15;118.60;118.18;118.62;120.34;117.33;117.80;123.31;118.63;124.14;123.30;115.72;117.54;117.34;115.88;120.55;124.67;124.04;121.20;118.16;110.94;112.04;112.73;112.67;111.62;112.37;114.32;112.33;116.08;118.74;116.27;114.90;112.75;104.90;97.80;96.88;91.39;90.46;95.20;97.49;99.32;100.85;102.50;135.55;138.35;133.48;130.12;136.77;137.00;137.84;134.79;131.79;131.14;129.67;132.66;136.11;138.29;141.45;140.21;142.39;139.62;140.99;139.84;142.03;139.42;142.24;142.62;144.58;
13;JPMorgan Chase & Co.;JPM;140.63;143.34;144.04;144.34;142.24;142.33;140.46;140.88;140.07;140.09;141.26;140.06;139.12;140.29;137.96;135.49;135.90;140.73;141.54;143.49;140.86;139.75;138.72;138.88;138.38;135.71;137.68;136.74;134.33;133.27;133.41;132.22;131.44;131.30;132.98;132.05;131.33;129.90;132.08;135.71;137.09;134.65;133.76;132.98;133.08;135.11;134.57;135.35;138.66;138.18;136.64;136.71;137.14;136.50;135.27;134.56;134.67;132.89;133.56;135.71;135.73;136.17;135.25;131.43;132.06;132.29;130.83;128.18;130.36;128.28;127.43;126.28;126.20;125.20;123.27;123.10;122.39;118.71;118.83;120.14;117.01;115.24;109.90;104.73;104.54;107.31;107.71;110.19;110.95;112.99;108.36;107.62;107.28;108.73;108.17;109.61;;;
14;Visa Inc. Class A;V;229.90;232.48;231.86;232.13;230.26;230.86;234.30;232.66;230.80;230.42;232.84;227.08;224.97;250.58;226.20;224.43;221.52;224.99;224.40;223.76;223.81;222.18;222.39;222.21;218.14;214.16;213.20;212.33;208.04;208.53;208.53;206.88;206.24;206.65;207.96;206.53;207.47;208.40;211.82;216.28;219.98;214.82;210.52;210.30;209.02;212.13;216.91;218.48;218.65;217.00;210.15;214.47;214.00;212.83;210.48;210.55;214.17;211.28;210.89;213.73;209.17;206.43;205.76;201.33;204.12;200.44;201.45;198.85;207.00;209.97;209.62;211.52;206.32;206.37;195.23;193.13;190.95;190.98;187.64;190.19;188.57;187.13;185.37;180.59;181.64;184.78;184.61;188.05;188.82;186.21;183.36;182.92;182.24;180.10;184.85;184.50;;;
15;Home Depot Inc.;HD;316.13;323.89;323.99;327.00;331.01;334.71;341.47;330.55;324.35;318.14;318.24;319.26;318.12;318.10;317.53;315.24;321.34;334.52;335.16;332.39;332.21;329.04;320.73;322.55;318.85;318.08;322.51;319.22;318.17;321.83;321.43;321.55;319.10;316.40;319.59;316.89;321.91;327.94;330.02;339.06;347.25;328.34;324.44;324.52;322.88;321.65;325.52;328.48;329.67;324.19;320.00;328.80;329.08;327.82;326.82;318.84;316.00;313.68;316.41;316.63;315.98;317.68;314.74;292.50;293.34;291.70;288.84;285.95;300.17;302.21;299.28;299.16;294.27;291.87;292.13;284.47;275.71;278.00;282.77;289.86;283.87;286.64;284.83;284.64;286.20;284.86;288.63;292.97;292.11;291.31;286.06;281.79;278.76;283.50;273.69;273.56;271.30;271.22;280.13
16;Procter & Gamble Company;PG;137.71;139.33;139.54;140.79;142.64;143.38;142.71;144.10;142.47;142.12;141.36;141.74;141.75;142.38;143.70;143.15;146.22;149.93;152.13;151.05;151.73;152.56;152.70;154.80;154.46;152.48;153.39;151.71;152.68;153.24;154.65;154.32;152.92;152.41;152.63;150.90;151.38;151.07;152.00;154.44;154.23;152.56;151.95;151.38;150.43;150.08;149.67;150.77;150.36;149.16;146.06;147.34;147.20;146.63;145.79;145.19;142.76;141.69;142.91;143.20;143.56;141.63;141.63;137.97;137.52;137.19;135.00;132.64;136.54;136.28;135.67;135.51;133.12;132.57;131.18;130.44;128.95;129.77;133.00;130.07;128.28;127.02;126.75;125.81;125.70;124.25;126.58;129.06;130.09;130.87;129.10;129.04;131.87;133.02;136.94;136.82;;;
17;Mastercard Incorporated Class A;MA;370.24;374.57;375.79;377.07;374.33;378.22;380.47;376.78;372.48;373.74;380.52;384.11;382.56;390.00;381.38;376.62;370.80;375.81;378.33;377.87;381.13;377.92;371.68;375.00;368.72;357.56;356.98;354.66;347.90;349.72;349.51;346.91;344.54;345.60;347.60;344.37;345.85;348.24;353.80;362.10;369.26;358.44;352.77;352.17;347.85;355.00;358.90;362.29;361.58;356.40;344.72;350.23;351.40;350.80;345.32;344.25;348.63;341.92;345.13;351.22;344.51;342.63;337.40;323.69;329.40;325.80;323.13;316.77;333.00;333.64;329.44;331.80;323.08;324.45;312.10;307.00;302.71;302.73;299.64;303.70;298.73;298.62;295.43;287.49;290.39;297.25;297.19;305.05;306.60;303.97;292.75;290.76;292.07;292.98;297.90;295.34;;;
18;Chevron Corporation;CVX;172.49;170.66;174.07;174.39;170.12;171.55;171.43;173.66;174.63;178.34;184.23;187.81;180.03;182.00;182.55;181.36;179.95;182.38;181.32;177.99;178.37;178.14;176.71;178.33;179.39;176.19;174.29;179.00;179.95;179.20;179.30;180.23;177.58;175.21;175.96;173.29;170.82;170.15;171.37;174.92;174.46;170.52;173.19;176.40;174.58;178.06;182.95;183.63;184.55;183.34;181.85;181.47;185.30;185.15;186.56;181.70;183.41;184.23;187.82;188.44;189.68;187.10;182.33;183.81;186.25;186.38;185.40;182.19;182.90;184.50;183.84;182.86;181.40;178.48;175.00;174.67;173.84;171.82;169.21;163.31;164.91;165.46;165.99;158.81;159.93;161.47;163.93;161.94;159.73;157.88;152.34;145.14;145.41;146.44;143.77;145.05;150.18;158.28;158.78
19;Eli Lilly and Company;LLY;348.43;347.35;342.87;340.96;343.42;342.33;335.30;345.94;344.40;347.80;348.09;352.18;349.78;384.44;346.61;349.07;355.80;359.00;362.00;363.31;360.50;361.76;353.21;364.97;366.70;361.49;367.12;369.00;367.95;370.95;368.01;369.73;367.90;369.76;370.68;361.45;359.70;360.48;363.97;369.43;372.74;367.83;374.00;373.26;375.24;370.64;375.25;375.04;375.19;372.35;366.11;369.51;365.83;362.47;362.80;363.76;364.67;362.30;356.88;356.99;360.80;367.83;369.00;369.80;368.75;367.00;365.88;362.83;363.15;358.99;363.92;362.00;361.12;361.48;352.33;351.77;342.43;331.44;335.63;335.33;337.58;335.29;333.37;333.65;329.03;327.01;333.07;339.26;333.85;330.10;329.35;329.51;334.68;341.70;313.95;311.73;315.18;312.61;304.53
20;Merck & Co. Inc.;MRK;108.41;107.84;107.52;105.93;104.62;103.79;105.81;107.43;107.44;106.50;106.68;108.55;109.93;110.00;110.36;109.99;110.18;110.10;112.49;112.44;112.10;111.31;112.01;114.93;115.49;113.91;112.61;111.20;111.42;111.70;112.89;112.59;112.13;111.69;111.19;110.66;110.10;109.70;110.77;112.17;111.26;109.10;111.37;111.02;110.71;110.76;110.23;110.09;110.98;110.33;109.06;108.90;107.50;107.30;107.10;105.87;104.60;102.35;100.80;100.74;101.69;100.81;102.81;103.76;101.97;100.36;99.38;99.24;101.03;101.07;101.36;101.14;101.50;99.28;98.29;98.42;95.96;93.40;94.91;95.32;94.37;93.36;92.72;91.72;91.98;91.59;88.30;88.01;88.78;88.65;87.90;87.62;87.42;87.25;87.63;86.71;88.01;88.15;86.5
