ID;Comment;Name;Symbol;Last Update;Own;Flag
1;;Apple Inc.;AAPL;07.02.2023 11:14;0;
2;;Microsoft Corporation;MSFT;07.02.2023 11:14;0;
3;;Amazon.com Inc.;AMZN;07.02.2023 11:14;0;
4;;Alphabet Inc. Class A;GOOGL;07.02.2023 11:14;0;
5;;Berkshire Hathaway Inc. Class B;BRK.B;07.02.2023 11:14;0;
6;;Alphabet Inc. Class C;GOOG;07.02.2023 11:14;0;
7;;NVIDIA Corporation;NVDA;07.02.2023 11:14;0;
8;;Tesla Inc;TSLA;07.02.2023 11:14;0;
9;;Exxon Mobil Corporation;XOM;07.02.2023 11:14;0;
10;;UnitedHealth Group Incorporated;UNH;07.02.2023 11:14;0;
11;;Johnson & Johnson;JNJ;07.02.2023 11:14;0;
12;;Meta Platforms Inc. Class A;META;07.02.2023 11:14;0;
13;;JPMorgan Chase & Co.;JPM;07.02.2023 11:14;0;
14;;Visa Inc. Class A;V;07.02.2023 11:14;0;
15;;Home Depot Inc.;HD;07.02.2023 11:14;0;
16;;Procter & Gamble Company;PG;07.02.2023 11:14;0;
17;;Mastercard Incorporated Class A;MA;07.02.2023 11:14;0;
18;;Chevron Corporation;CVX;07.02.2023 11:14;0;
19;;Eli Lilly and Company;LLY;07.02.2023 11:14;0;
20;;Merck & Co. Inc.;MRK;07.02.2023 11:14;0;
21;;AbbVie Inc.;ABBV;07.02.2023 11:14;0;
22;;Bank of America Corp;BAC;07.02.2023 11:14;0;
23;;Pfizer Inc.;PFE;07.02.2023 11:14;0;
24;;Broadcom Inc.;AVGO;07.02.2023 11:14;0;
25;;PepsiCo Inc.;PEP;07.02.2023 11:14;0;
26;;Coca-Cola Company;KO;07.02.2023 11:14;0;
27;;Costco Wholesale Corporation;COST;07.02.2023 11:14;0;
28;;Thermo Fisher Scientific Inc.;TMO;07.02.2023 11:14;0;
29;;Walt Disney Company;DIS;07.02.2023 11:14;0;
30;;Walmart Inc.;WMT;07.02.2023 11:14;0;
31;;McDonald's Corporation;MCD;07.02.2023 11:14;0;
32;;Cisco Systems Inc.;CSCO;07.02.2023 11:14;0;
33;;Abbott Laboratories;ABT;07.02.2023 11:14;0;
34;;Wells Fargo & Company;WFC;07.02.2023 11:14;0;
35;;Accenture Plc Class A;ACN;07.02.2023 11:14;0;
36;;Adobe Incorporated;ADBE;07.02.2023 11:14;0;
37;;Verizon Communications Inc.;VZ;07.02.2023 11:14;0;
38;;Danaher Corporation;DHR;07.02.2023 11:14;0;
39;;Comcast Corporation Class A;CMCSA;07.02.2023 11:14;0;
40;;Salesforce Inc.;CRM;07.02.2023 11:14;0;
41;;Texas Instruments Incorporated;TXN;07.02.2023 11:14;0;
42;;Netflix Inc.;NFLX;07.02.2023 11:14;0;
43;;Linde plc;LIN;07.02.2023 11:14;0;
44;;Bristol-Myers Squibb Company;BMY;07.02.2023 11:14;0;
45;;NIKE Inc. Class B;NKE;07.02.2023 11:14;0;
46;;Philip Morris International Inc.;PM;07.02.2023 11:14;0;
47;;NextEra Energy Inc.;NEE;07.02.2023 11:14;0;
48;;QUALCOMM Incorporated;QCOM;07.02.2023 11:14;0;
49;;Raytheon Technologies Corporation;RTX;07.02.2023 11:14;0;
50;;AT&T Inc.;T;07.02.2023 11:14;0;
51;;United Parcel Service Inc. Class B;UPS;07.02.2023 11:14;0;
52;;Honeywell International Inc.;HON;07.02.2023 11:14;0;
53;;Oracle Corporation;ORCL;07.02.2023 11:14;0;
54;;Advanced Micro Devices Inc.;AMD;07.02.2023 11:14;0;
55;;Lowe's Companies Inc.;LOW;07.02.2023 11:14;0;
56;;ConocoPhillips;COP;07.02.2023 11:14;0;
57;;Caterpillar Inc.;CAT;07.02.2023 11:14;0;
58;;Morgan Stanley;MS;07.02.2023 11:14;0;
59;;Amgen Inc.;AMGN;07.02.2023 11:14;0;
60;;Union Pacific Corporation;UNP;07.02.2023 11:14;0;
61;;Goldman Sachs Group Inc.;GS;07.02.2023 11:14;0;
62;;International Business Machines Corporation;IBM;07.02.2023 11:14;0;
63;;S&P Global Inc.;SPGI;07.02.2023 11:14;0;
64;;Charles Schwab Corp;SCHW;07.02.2023 11:14;0;
65;;Prologis Inc.;PLD;07.02.2023 11:14;0;
66;;Starbucks Corporation;SBUX;07.02.2023 11:14;0;
67;;Intel Corporation;INTC;07.02.2023 11:14;0;
68;;Intuit Inc.;INTU;07.02.2023 11:14;0;
69;;Boeing Company;BA;07.02.2023 11:14;0;
70;;Elevance Health Inc.;ELV;07.02.2023 11:14;0;
71;;Medtronic Plc;MDT;07.02.2023 11:14;0;
72;;Deere & Company;DE;07.02.2023 11:14;0;
73;;CVS Health Corporation;CVS;07.02.2023 11:14;0;
74;;BlackRock Inc.;BLK;07.02.2023 11:14;0;
75;;Lockheed Martin Corporation;LMT;07.02.2023 11:14;0;
76;;Gilead Sciences Inc.;GILD;07.02.2023 11:14;0;
77;;American Express Company;AXP;07.02.2023 11:14;0;
78;;American Tower Corporation;AMT;07.02.2023 11:14;0;
79;;Applied Materials Inc.;AMAT;07.02.2023 11:14;0;
80;;Citigroup Inc.;C;07.02.2023 11:14;0;
81;;Booking Holdings Inc.;BKNG;07.02.2023 11:14;0;
82;;PayPal Holdings Inc.;PYPL;07.02.2023 11:14;0;
83;;TJX Companies Inc;TJX;07.02.2023 11:14;0;
84;;Automatic Data Processing Inc.;ADP;07.02.2023 11:14;0;
85;;Analog Devices Inc.;ADI;07.02.2023 11:14;0;
86;;ServiceNow Inc.;NOW;07.02.2023 11:14;0;
87;;Stryker Corporation;SYK;07.02.2023 11:14;0;
88;;Mondelez International Inc. Class A;MDLZ;07.02.2023 11:14;0;
89;;General Electric Company;GE;07.02.2023 11:14;0;
90;;Chubb Limited;CB;07.02.2023 11:14;0;
91;;Intuitive Surgical Inc.;ISRG;07.02.2023 11:14;0;
92;;Cigna Corporation;CI;07.02.2023 11:14;0;
93;;Marsh & McLennan Companies Inc.;MMC;07.02.2023 11:14;0;
94;;T-Mobile US Inc.;TMUS;07.02.2023 11:14;0;
95;;Altria Group Inc;MO;07.02.2023 11:14;0;
96;;Regeneron Pharmaceuticals Inc.;REGN;07.02.2023 11:14;0;
97;;Progressive Corporation;PGR;07.02.2023 11:14;0;
98;;Target Corporation;TGT;07.02.2023 11:14;0;
